case,n_kept,keep,filt,r000,frag,coll,score_A,score_B,score_C,kept_targets
ent0.4coh0role0asym0,5888,36,14,0,15,27,0.4096,0.2266,0.0853,重生+世界+历史+天道+在三国+家的+聊天+我的
ent0.4coh0role0asym2,5988,36,17,13,16,13,0.4495,0.4058,0.4498,首富+庆余年+康熙+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+聊天+我的+我终+真没+无限之
ent0.4coh0role0.5asym0,4959,32,5,0,7,559,0.5107,0.3248,0.1583,重生+世界+历史+在三国+家的
ent0.4coh0role0.5asym2,5035,32,6,11,7,549,0.5706,0.4987,0.4829,首富+庆余年+康熙+明月+完美世界+神诡世界+重生+世界+历史+在三国+家的+我终+真没
ent0.4coh1role0asym0,5395,36,13,0,13,108,0.4299,0.2485,0.1032,重生+世界+历史+天道+在三国+家的+聊天+我的
ent0.4coh1role0asym2,5605,36,16,13,14,54,0.4722,0.43,0.4701,首富+庆余年+康熙+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+聊天+我的+我终+真没+无限之
ent0.4coh1role0.5asym0,4561,32,5,0,6,604,0.5136,0.3304,0.1639,重生+世界+历史+在三国+家的
ent0.4coh1role0.5asym2,4709,32,6,11,6,566,0.5752,0.506,0.4902,首富+庆余年+康熙+明月+完美世界+神诡世界+重生+世界+历史+在三国+家的+我终+真没
ent0.5coh0role0asym0,5865,36,4,0,14,39,0.5545,0.3343,0.153,重生+世界+历史+天道+在三国+家的+我的
ent0.5coh0role0asym2,5974,36,10,13,15,19,0.5527,0.4838,0.4998,首富+庆余年+康熙+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+我的+我终+真没+无限之
ent0.5coh0role0.5asym0,4955,32,2,0,7,560,0.5526,0.3547,0.1762,重生+世界+历史+在三国+家的
ent0.5coh0role0.5asym2,5033,32,5,11,7,550,0.5846,0.5086,0.4888,首富+庆余年+康熙+明月+完美世界+神诡世界+重生+世界+历史+在三国+家的+我终+真没
ent0.5coh1role0asym0,5374,36,4,0,12,119,0.5608,0.3462,0.1649,重生+世界+历史+天道+在三国+家的+我的
ent0.5coh1role0asym2,5592,36,10,13,13,60,0.5614,0.498,0.5141,首富+庆余年+康熙+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+我的+我终+真没+无限之
ent0.5coh1role0.5asym0,4557,32,2,0,6,605,0.5555,0.3604,0.1819,重生+世界+历史+在三国+家的
ent0.5coh1role0.5asym2,4707,32,5,11,6,567,0.5891,0.516,0.4961,首富+庆余年+康熙+明月+完美世界+神诡世界+重生+世界+历史+在三国+家的+我终+真没
