case,n_kept,keep,filt,r000,frag,coll,score_A,score_B,score_C,kept_targets
base-ent,5865,36,4,0,14,39,0.5545,0.3343,0.153,重生+世界+历史+天道+在三国+家的+我的
role滤@0.3,5363,35,3,0,14,272,0.5452,0.3237,0.1411,重生+世界+历史+在三国+家的+我的
role滤@0.5,4955,32,2,0,7,560,0.5526,0.3547,0.1762,重生+世界+历史+在三国+家的
role滤@0.7,4419,21,1,0,3,932,0.4628,0.3017,0.1489,历史+在三国+家的
role滤@0.9,4101,14,1,0,0,1150,0.4003,0.2665,0.1326,历史+在三国+家的
asym救@1.0,6006,36,14,14,16,16,0.498,0.4523,0.4977,首富+庆余年+康熙+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+我的+我终+真没+无限之
asym救@1.5,5987,36,13,13,16,18,0.5053,0.4455,0.4735,首富+庆余年+康熙+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+我的+我终+真没+无限之
asym救@2.0,5974,36,10,13,15,19,0.5527,0.4838,0.4998,首富+庆余年+康熙+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+我的+我终+真没+无限之
asym救@2.5,5964,36,10,12,15,23,0.5458,0.4669,0.4696,首富+庆余年+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+我的+我终+真没+无限之
spe救对照@0.5,5902,36,14,10,17,28,0.4651,0.3766,0.3686,首富+庆余年+康熙+明月+铁血+重生+世界+历史+天道+在三国+家的+聊天+联盟之+我的+我终+真没
spe救对照@0.8,5895,36,10,10,17,31,0.5209,0.4164,0.3924,首富+庆余年+康熙+明月+铁血+重生+世界+历史+天道+在三国+家的+聊天+联盟之+我的+我终+真没
spe救对照@1.0,5871,36,4,4,14,38,0.5812,0.401,0.273,铁血+重生+世界+历史+天道+在三国+家的+我的
