case,n_kept,keep,filt,r000,frag,coll,score_A,score_B,score_C,kept_targets
E-ent-only,5865,36,4,0,14,39,0.5545,0.3343,0.153,重生+世界+历史+天道+在三国+家的+我的
A-ent+asym救+role净,5033,32,5,11,7,550,0.5846,0.5086,0.4888,首富+庆余年+康熙+明月+完美世界+神诡世界+重生+世界+历史+在三国+家的+我终+真没
B-ent+spe救+role净,5171,33,9,10,14,386,0.5022,0.4101,0.3902,首富+庆余年+康熙+明月+铁血+重生+世界+历史+在三国+家的+聊天+联盟之+我终+真没
C-ent+role救,5918,36,6,6,14,33,0.5668,0.4146,0.3213,首富+庆余年+康熙+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+我的+我终+真没
D-ent+coh1.0+role滤+asym救,4707,32,5,11,6,567,0.5891,0.516,0.4961,首富+庆余年+康熙+明月+完美世界+神诡世界+重生+世界+历史+在三国+家的+我终+真没
