word,count,independent,bind,len,compound_entropy
异世界,24,11,0.3158,3,2.9502
我真的,24,4,1.0,3,2.6341
日子,24,5,1.0,2,1.4154
是我,24,5,0.4167,2,2.519
真不是,24,2,0.9167,3,0.4972
一人之,23,2,1.0,3,0.8743
世之,23,4,0.2609,2,2.5832
之下,23,2,0.913,2,0.5132
什么鬼,23,16,1.0,3,0.4395
升级,23,6,0.3182,2,2.8074
完美,23,7,0.2174,2,3.2359
属性,23,8,0.2727,2,3.085
成仙,23,14,0.5,2,2.161
技能,23,6,0.1818,2,3.6169
来的,23,5,0.6522,2,1.8886
死神,23,13,0.3,2,2.5724
绝世,23,5,0.4444,2,2.1468
苟在,23,15,1.0,2,4.3158
高武,23,17,0.3636,2,1.8541
女帝,22,17,0.1875,2,3.0851
封神,22,14,0.2857,2,2.0919
我真不是,22,18,1.0,4,0.7642
星际,22,12,0.2857,2,2.2359
是大,22,1,0.3636,2,2.8408
有点,22,15,0.1364,2,4.0615
生了,22,2,0.9091,2,0.5304
男神,22,9,0.5,2,3.2664
真没,22,2,0.9524,2,0.2762
种田,22,12,0.2,2,3.2516
自己,22,7,0.5,2,2.5479
超人,22,18,0.1429,2,3.6645
路明,22,1,0.9545,2,0.2668
一人之下,21,17,1.0,4,1.2415
之神,21,12,0.5,2,2.5559
人间,21,13,0.125,2,3.5
剑仙,21,15,0.25,2,2.2516
十年,21,8,0.5556,2,2.1488
在东,21,1,0.9524,2,0.2762
成圣,21,5,0.6667,2,3.3826
时空,21,11,0.4,2,2.7396
联盟之,21,8,1.0,3,0.0
超凡,21,13,0.25,2,2.9477
超神,21,17,0.25,2,4.0958
路明非,21,7,0.6923,3,1.7899
主神,20,9,0.2222,2,3.3661
古代,20,11,0.4167,2,2.2842
吞噬星空,20,9,1.0,4,1.6438
大明星,20,10,0.4211,3,3.3931
她们,20,10,0.3,2,1.6216
我真没,20,3,0.75,3,1.1488
指南,20,13,0.25,2,3.6414
救世,20,2,0.5789,2,1.5738
极品,20,14,0.3333,2,4.2627
江湖,20,16,0.125,2,3.5466
觉醒,20,11,0.2143,2,3.086
重生了,20,5,0.9091,3,1.1982
黑科技,20,7,0.4375,3,2.5218
不对,19,2,1.0,2,0.0
主播,19,9,0.3333,2,2.5654
之路,19,15,0.5,2,4.2018
位面,19,11,0.2727,2,2.8454
你管,19,1,0.9474,2,0.2975
复苏,19,4,0.3158,2,2.0049
大国,19,14,0.5,2,4.0707
大秦,19,15,0.2222,2,2.3219
太子,19,11,0.2857,2,2.7255
娱乐圈,19,10,0.5,3,2.5218
御兽,19,13,0.1818,2,3.2776
成真,19,6,0.8,2,1.5197
我不是,19,15,0.5,3,1.9219
我要,19,7,0.6667,2,1.2988
明朝,19,8,0.3846,2,2.4416
武圣,19,10,0.3333,2,2.5
没想,19,1,0.7895,2,0.9133
猎人,19,13,0.25,2,1.88
电影,19,8,0.2941,2,2.585
界开,19,1,0.7368,2,1.1923
的日子,19,17,0.1053,3,4.1427
逆袭,19,8,0.3333,2,3.1494
长生从,19,17,1.0,3,4.2219
之上,18,14,0.5,2,1.371
亮剑,18,10,0.4286,2,1.8424
你管这,18,1,0.9444,3,0.3095
冠军,18,13,0.2857,2,2.6464
千年,18,6,0.25,2,2.7255
变强,18,4,0.5,2,2.9197
可以,18,6,0.4444,2,2.8366
在诸天,18,4,0.3333,3,2.6987
少女,18,7,0.3,2,2.5949
忍界,18,14,0.375,2,2.5221
悠闲,18,5,0.6923,2,1.5059
我一,18,8,0.5556,2,0.9864
我为,18,15,0.1667,2,2.9183
我有一个,18,11,0.1765,4,3.6835
攻略,18,16,0.3333,2,4.3685
柯南,18,7,0.5833,2,2.0218
次元,18,4,0.6667,2,1.6923
正常,18,3,0.2857,2,2.7534
百年,18,8,0.2941,2,2.5219
万物,17,15,0.2857,2,2.75
不对劲,17,13,0.6667,3,1.4591
之最,17,1,0.8824,2,0.6402
你们,17,9,0.25,2,2.4817
你管这叫,17,15,0.1176,4,3.9698
入侵,17,8,0.2222,2,2.7774
全民,17,9,1.0,2,3.6819
大宋,17,11,0.6667,2,3.9321
大道,17,12,0.25,2,2.9477
天才,17,15,0.2222,2,3.1219
工业,17,6,0.1818,2,3.0958
带着,17,11,0.5,2,1.9219
日记,17,7,0.25,2,1.88
正经,17,6,0.4118,2,2.6962
生不,17,4,0.7059,2,1.5569
的我只,17,1,0.3529,3,1.9831
纪元,17,12,1.0,2,0.7219
美食,17,15,0.1333,2,3.0
能力,17,7,0.5294,2,2.4093
荒野,17,6,0.375,2,2.6416
诡秘,17,17,1.0,2,2.3244
重回,17,15,0.5,2,3.1084
之旅,16,7,0.1875,2,3.3278
今天,16,6,0.3636,2,2.7322
修炼,16,12,0.2143,2,3.4677
全是,16,8,0.2308,2,3.2806
同时穿越,16,10,1.0,4,1.5694
天庭,16,14,0.1667,2,3.4183
娘子,16,10,0.5,2,2.2925
影视世界,16,10,0.6667,4,3.7345
悟性,16,5,0.7,2,1.823
情报,16,3,0.3333,2,2.7069
我真是,16,12,0.1333,3,3.75
战争,16,6,0.2222,2,2.7322
是天,16,5,0.1875,2,3.3278
最后,16,2,0.5625,2,1.4913
来了,16,10,0.5,2,1.5
来自,16,12,0.2,2,3.2516
气运,16,11,0.2143,2,3.4183
界之,16,2,0.375,2,2.0079
神明,16,12,0.1429,2,3.0
空之,16,1,0.75,2,1.0141
竟是,16,5,0.625,2,1.9238
获得,16,1,0.4667,2,1.6895
词条,16,5,0.3,2,2.6106
道长,16,5,0.4615,2,2.2892
魔女,16,14,0.4,2,2.0588
为王,15,12,1.0,2,3.7028
之最强,15,7,0.2,3,3.3232
乐园,15,11,1.0,2,0.7219
从武,15,4,0.5,2,1.1488
养成,15,11,0.2857,2,3.2359
北宋,15,8,0.4,2,1.9219
只是,15,3,0.5385,2,1.9301
只有,15,2,0.6667,2,1.5589
在斗罗,15,2,0.7143,3,1.3753
在美,15,1,0.6154,2,1.5466
大亨,15,9,0.5,2,1.9183
大帝,15,12,0.375,2,2.6416
天之,15,2,0.5333,2,1.5329
天后,15,10,0.2308,2,3.3347
娱之,15,1,0.6667,2,1.3753
归来的,15,5,0.4,3,2.5559
怎么办,15,5,0.4,3,2.6062
我就,15,2,0.8667,2,0.6998
我真没想,15,7,0.5333,4,1.371
斗破,15,9,0.6667,2,1.875
无双,15,11,1.0,2,3.6402
曝光,15,7,0.7,2,1.7807
满级,15,10,0.3,2,3.0272
的人,15,2,0.7857,2,0.9464
神之,15,4,0.2667,2,2.9232
空间,15,8,0.3846,2,2.6535
老婆是,15,1,0.5333,3,1.2729
英雄联盟,15,6,1.0,4,1.4716
说我,15,4,0.3333,2,2.8226
骑士,15,6,0.2857,2,2.75
高手,15,4,0.5,2,1.8366
世界开,14,3,0.7143,3,1.4345
个明星,14,1,0.9286,3,0.3712
主宰,14,10,1.0,2,3.6402
人类,14,6,0.25,2,2.9477
修真,14,9,0.5,2,1.5
叫我,14,5,0.3077,2,2.7534
合成,14,6,0.3333,2,2.9183
国之,14,5,0.6429,2,1.7695
在异界,14,6,0.3846,3,2.6535
大圣,14,10,0.3333,2,2.0
天命,14,10,0.2857,2,2.5216
天王,14,9,0.3333,2,3.5778
奶爸,14,9,0.5,2,1.7925
家族,14,9,0.3,2,2.8464
家的,14,12,0.1538,2,3.6645
恶魔,14,8,0.2222,2,2.9477
我在东京,14,5,0.5,4,2.2608
我才,14,2,0.5,2,1.0613
手册,14,12,0.1429,2,3.6645
木叶之,14,12,1.0,3,3.7736
模板,14,10,0.6667,2,3.7345
求生,14,11,0.2,2,3.1808
海贼之,14,14,1.0,3,3.9069
现实,14,5,0.5833,2,1.7807
生涯,14,10,0.1429,2,3.5216
生的,14,4,0.7143,2,1.4345
的黑,14,5,0.5,2,2.4037
神的,14,6,0.1538,2,3.2389
离婚,14,5,0.5385,2,2.0349
篮球,14,10,0.3636,2,2.75
罗之,14,1,0.9286,2,0.3712
让我,14,8,0.2222,2,2.8352
训练,14,1,0.7143,2,1.0949
诸天从,14,12,0.25,3,2.0
超能,14,5,0.6667,2,1.4466
过去,14,3,0.4286,2,2.217
逆天,14,4,0.5385,2,2.0349
选手,14,4,0.3077,2,2.5654
那些,14,1,0.7857,2,0.9464
都重生了,14,5,1.0,4,1.4299
锦衣,14,7,0.5385,2,2.1888
霍格沃茨的,14,12,0.3333,5,3.9698
魔王,14,7,0.5833,2,1.9473
黄金,14,9,0.2143,2,2.8074
不想当,13,6,0.3333,3,2.5221
之开,13,1,0.9231,2,0.3912
之我是,13,6,0.3846,3,2.8074
人的,13,11,0.1538,2,3.5466
仙子,13,9,0.3333,2,2.25
们的,13,5,0.2308,2,2.8151
修仙界,13,5,0.7273,3,1.2776
分身,13,8,0.4545,2,2.6175
卧底,13,11,0.25,2,2.0
历史,13,11,0.2,2,2.9477
变成,13,8,0.2727,2,2.8454
基因,13,13,0.1429,2,2.8074
外挂,13,6,0.3,2,2.6635
天师,13,11,0.1667,2,3.1219
天道,13,8,0.4167,2,2.3219
妖魔,13,7,0.3333,2,2.8454
始皇,13,6,0.5556,2,1.88
宗师,13,10,0.5,2,3.5899
开始当,13,9,0.1538,3,3.5466
忍者,13,7,0.3636,2,2.7774
怪谈,13,8,0.4286,2,2.371
我可,13,1,1.0,2,1.7736
我和,13,13,0.0833,2,3.7004
我就是,13,13,0.0769,3,3.7004
文艺,13,3,0.75,2,1.0613
斗罗之,13,8,0.3846,3,2.8074
武魂,13,7,0.375,2,2.3554
深渊,13,9,0.2857,2,2.75
火影之,13,11,1.0,3,3.6645
界大,13,2,0.8462,2,0.7732
界开始,13,1,0.7692,3,0.9913
的大,13,3,0.2308,2,3.027
的小,13,9,0.1538,2,3.5466
的超,13,1,0.5385,2,2.1888
相亲,13,7,0.3333,2,2.4131
神探,13,11,0.25,2,2.2516
神秘,13,6,0.3846,2,2.585
绝对,13,11,0.25,2,2.0
谁让,13,1,1.0,2,1.6738
这个明星,13,11,0.1538,4,3.5466
金手,13,2,0.8182,2,0.684
首富,13,7,1.0,2,0.0
魔人,13,1,0.6923,2,1.1401
黑暗,13,11,0.3333,2,2.5216
万古,12,8,0.2857,2,2.6464
万年,12,10,0.5,2,1.0613
三十,12,3,0.3636,2,2.3554
不会,12,5,0.3636,2,2.7255
不正,12,1,0.5833,2,1.2807
世主,12,1,0.9167,2,0.4138
世家,12,7,0.2727,2,2.3219
两界,12,7,0.2857,2,2.2359
之大,12,4,0.3333,2,2.5221
之开局,12,8,0.1667,3,3.2516
什么叫,12,10,1.0,3,0.8113
凶猛,12,12,0.5,2,3.7004
到大,12,10,0.1667,2,3.4183
副本,12,10,0.2,2,2.281
在修仙,12,1,0.7273,3,0.8454
大汉,12,10,0.2222,2,2.5216
子的,12,4,0.25,2,2.6258
岁月,12,12,0.25,2,2.2516
师兄,12,3,0.7,2,1.4911
幕后,12,4,0.4167,2,2.2213
影开始,12,1,0.9167,3,0.4138
我怎么,12,3,0.4286,3,2.4056
我没,12,3,0.6,2,1.8424
我自,12,1,0.9167,2,0.4138
捡到,12,2,0.5,2,2.2925
文明,12,8,0.2222,2,2.9219
无上,12,8,0.1667,2,2.585
星空之,12,1,1.0,3,0.4138
横推,12,5,0.5,2,1.5
江山,12,9,0.75,2,0.8113
火影开,12,1,0.9167,3,0.4138
猎魔,12,3,0.8182,2,0.8659
的女,12,5,0.5833,2,1.9473
神诡,12,4,1.0,2,0.0
秦时,12,5,0.7143,2,1.5
继承,12,8,0.25,2,2.7219
聊斋,12,8,0.2857,2,2.5216
至尊,12,12,0.1667,2,2.585
警察,12,9,0.375,2,2.6464
谍战,12,7,1.0,2,0.0
赛博,12,5,0.4545,2,2.2516
转生,12,12,0.1667,2,2.5219
重启,12,9,0.3333,2,2.0
三千,11,6,0.2727,2,2.8454
上单,11,7,0.5,2,2.1133
不能,11,11,0.1,2,3.3219
不要,11,6,0.3,2,2.6464
世界大,11,4,0.1818,3,2.914
中的,11,8,0.2727,2,3.0272
之后,11,11,0.0909,2,3.4594
二次,11,1,0.9091,2,0.4395
人在斗,11,1,0.9091,3,0.4395
从一,11,6,0.5,2,1.1488
从火影开始,11,6,0.2727,5,2.8454
仙人,11,9,0.2857,2,2.3219
仙从,11,2,0.8182,2,0.8659
你不,11,7,0.25,2,2.3219
你这,11,8,1.0,2,0.971
凡人,11,9,0.2857,2,2.3219
刷新,11,5,0.3636,2,1.585
加入,11,1,0.8182,2,0.8659
华娱从,11,11,0.1111,3,3.2776
名门,11,7,1.0,2,2.9219
吞噬星空之,11,9,0.1818,5,3.2776
大人,11,4,0.3,2,2.4464
大学,11,5,0.2222,2,2.9219
奥特,11,1,0.9091,2,0.4395
女主,11,9,0.2222,2,2.9477
女儿,11,2,0.4545,2,2.3685
子开始,11,9,0.3333,3,1.585
开发,11,7,0.25,2,2.75
开局一,11,4,1.0,3,0.8631
开挂,11,7,0.2857,2,2.2359
怪物,11,9,0.2857,2,2.5216
恐怖,11,6,0.4286,2,2.1281
我们,11,8,0.5,2,1.371
我老,11,1,1.0,2,0.4395
我自己,11,2,0.8182,3,0.8659
抗战,11,9,0.5,2,2.1258
拜师,11,3,0.5,2,1.4056
拯救,11,5,0.4,2,2.7322
救世主,11,7,0.6667,3,1.5
日本,11,1,0.5,2,1.761
术士,11,8,0.75,2,1.371
机械,11,6,0.2727,2,2.9477
枭雄,11,7,0.5,2,1.585
武神,11,11,0.2,2,2.585
混在,11,7,0.1818,2,3.0958
