word,count,independent,bind,len,compound_entropy
篮坛,9,5,1.0,2,2.7219
系男神,9,7,0.2222,3,2.9477
经验,9,1,0.5556,2,1.5
维度,9,6,0.3333,2,2.585
缔造,9,5,0.4444,2,2.281
老师,9,7,0.2857,2,2.3219
肉身,9,3,0.75,2,1.0613
艺人,9,1,0.5,2,1.8911
英灵,9,7,0.4,2,1.9219
英雄联盟之,9,9,0.1111,5,3.1699
装备,9,6,0.6,2,1.8424
谈恋爱,9,4,0.5,3,1.8424
豪门,9,5,0.5,2,3.0958
贞观,9,7,0.5,2,3.2776
超能力,9,3,0.6667,3,1.2516
过分,9,6,0.3333,2,2.6416
这样,9,2,0.6667,2,1.75
退休,9,4,0.2857,2,2.5033
选择,9,5,0.6667,2,1.6645
逍遥,9,7,0.3333,2,1.585
道士,9,7,0.3333,2,1.585
邪神,9,5,0.5,2,1.5
都重生了谁,9,4,0.5556,5,1.88
金手指,9,7,0.3333,3,2.0
长生不死,9,5,0.6667,4,1.5
闲人,9,4,0.6667,2,0.9183
雨浩,9,4,0.5556,2,1.371
一剑,8,4,1.0,2,0.971
一只,8,3,0.25,2,2.5
不太,8,3,0.375,2,2.1556
个大,8,1,0.625,2,1.5488
之光,8,8,0.3333,2,2.0
之子,8,4,0.5,2,1.585
之我的,8,5,0.375,3,2.4056
之无,8,4,0.5,2,2.0
之门,8,8,0.125,2,3.0
九叔,8,3,0.5,2,1.7925
二代,8,4,0.5,2,1.585
交易,8,6,0.25,2,2.585
人生模拟,8,2,1.0,4,0.8113
仙了,8,1,1.0,2,0.9183
仙族,8,4,0.5,2,1.585
仙武,8,1,0.6,2,1.7925
仙道,8,8,0.25,2,2.0
做游戏,8,3,0.6667,3,1.4591
僵尸,8,6,0.4,2,1.9219
兼职,8,8,0.5,2,1.5
农家,8,6,0.6667,2,0.9183
出的,8,1,0.875,2,0.5436
到一,8,1,0.75,2,1.0613
北美,8,3,0.8333,2,0.65
十二,8,6,0.25,2,2.75
南之,8,1,0.875,2,0.5436
只好,8,3,0.8,2,1.4056
国术,8,8,0.5,2,1.0
在修仙界,8,1,0.7143,4,0.8631
地狱,8,5,0.4,2,2.2516
士兵突击,8,1,0.8333,4,0.65
士的,8,3,0.375,2,2.1556
大时代,8,6,0.6667,3,1.5
大清,8,8,0.5,2,1.5
天仙,8,6,0.3333,2,2.2516
天子,8,6,1.0,2,2.9477
天帝,8,8,0.25,2,2.3219
天生,8,8,0.3333,2,2.0
天神,8,5,0.4286,2,2.1281
夫人,8,6,0.6667,2,1.5
婚后,8,1,0.875,2,0.5436
学习,8,5,0.5,2,1.5
学家,8,3,0.625,2,1.5488
学霸的,8,4,0.25,3,2.5
小姐,8,3,0.5,2,1.585
山海,8,6,0.3333,2,2.2516
崩了,8,2,0.5,2,1.75
平凡,8,2,0.375,2,2.1556
年开始,8,5,0.6,3,1.8113
开局签到,8,6,0.6667,4,1.5
开局获,8,1,0.875,3,0.5436
强化,8,5,0.375,2,2.0
当神,8,4,0.25,2,2.5
征服,8,3,0.2857,2,2.2359
律师,8,6,0.5,2,1.2516
徒弟,8,4,0.25,2,2.3219
心声,8,3,1.0,2,0.9183
怎么成,8,2,0.6667,3,1.75
恋综,8,3,0.5,2,1.4591
成真了,8,2,0.25,3,2.25
我不想,8,5,0.5,3,1.585
我加,8,1,1.0,2,0.9183
我只能,8,2,1.0,3,0.5917
我可以,8,2,1.0,3,2.5033
我当,8,6,0.5,2,1.9219
我的武,8,1,1.0,3,0.971
我的老,8,1,0.875,3,0.5436
我真没想当,8,8,0.5,5,1.371
我真的不,8,3,0.375,4,2.1556
我老婆是,8,6,0.25,4,2.75
战国,8,8,0.3333,2,1.585
战神,8,8,0.3333,2,2.0
才是,8,2,0.75,2,1.0613
掌控,8,3,0.2857,2,2.5
提取,8,4,0.5,2,2.0
支配,8,2,0.75,2,1.0613
教主,8,2,0.5714,2,1.3788
教师,8,8,0.5,2,1.585
教授,8,6,0.25,2,2.0
斗罗大陆,8,6,1.0,4,0.9183
无敌了,8,6,0.25,3,2.75
无限之,8,6,1.0,3,0.0
日之,8,2,0.25,2,2.25
时光,8,5,0.375,2,2.3219
明明,8,3,0.375,2,2.1556
明末,8,8,0.3333,2,1.585
星球,8,5,0.5,2,1.0
是大明星,8,4,1.0,4,2.7255
是妖,8,1,0.5,2,1.4591
末法,8,3,0.6667,2,1.5
朱元璋,8,6,0.3333,3,2.0
某美漫的,8,8,0.125,4,3.0
武大,8,2,0.375,2,2.1556
每天,8,3,0.5,2,1.371
没钱,8,8,1.0,2,3.1699
洪武,8,4,0.4286,2,2.1281
灵气,8,3,0.625,2,1.5488
特种,8,2,0.75,2,1.0613
王之,8,4,0.25,2,2.5
生后,8,1,0.875,2,0.5436
疯了,8,2,1.0,2,0.7219
的地,8,3,0.375,2,2.1556
的悠闲生活,8,8,0.125,5,3.0
的我被,8,5,0.375,3,2.4056
的日常,8,5,0.6,3,1.371
的神,8,2,0.5,2,2.0
的美,8,4,0.5,2,2.0
的魔法,8,3,0.375,3,2.4056
看到,8,2,0.75,2,1.0613
看见,8,3,0.625,2,1.5488
真不想,8,1,0.875,3,0.5436
穿梭,8,8,0.2,2,2.3219
精神病,8,2,0.5,3,1.9183
系神豪,8,8,0.125,3,3.0
美漫世界,8,4,0.5,4,1.0
艺术家,8,3,0.375,3,2.1556
行者,8,4,1.0,2,1.0
要做,8,2,0.75,2,1.0613
诸天之,8,6,1.0,3,0.0
诸天最强,8,6,0.2857,4,2.75
资本,8,6,0.2857,2,2.5216
身份,8,1,0.5,2,2.0
进入,8,3,0.4286,2,1.8424
通天,8,6,0.5,2,1.5
道主,8,8,0.125,2,3.0
那个,8,6,0.25,2,2.75
重生从,8,8,0.1429,3,3.0
重生的我,8,4,0.25,4,2.5
风流,8,4,1.0,2,2.281
骷髅,8,3,0.4286,2,2.1556
鸣人,8,4,0.3333,2,1.9183
黎明,8,5,0.5,2,1.7925
一世,7,3,0.5,2,1.8424
一切,7,3,0.6667,2,1.5
一心,7,5,0.3333,2,1.9219
一百,7,2,0.4286,2,1.8424
万历,7,7,0.5,2,1.0
万岁,7,7,0.1429,2,2.8074
不正经,7,7,0.5,3,1.585
世界里的,7,3,0.2857,4,2.2359
个世界,7,4,0.5,3,1.9219
之剑,7,7,0.3333,2,1.585
之巅,7,7,0.1429,2,2.8074
之心,7,7,0.1429,2,2.8074
了我,7,2,0.5714,2,1.6645
亡灵,7,4,0.3333,2,2.2516
人设,7,2,0.8333,2,0.65
什么体验,7,1,0.8571,4,0.5917
从养,7,3,0.3333,2,1.6645
从天,7,5,1.0,2,0.8113
从西,7,4,0.4286,2,2.1281
从龙,7,2,1.0,2,1.0
仙官,7,7,0.5,2,1.0
仙门,7,7,0.3333,2,1.585
代的,7,1,0.8571,2,0.5917
你做,7,2,1.0,2,0.65
修道,7,1,0.5714,2,1.6645
光之,7,4,0.4286,2,2.1281
公司,7,7,0.3333,2,1.9219
军工,7,7,0.1667,2,2.585
刘备,7,5,0.5,2,1.9183
创造,7,7,0.25,2,2.0
前世,7,2,0.6,2,1.371
剑圣,7,7,0.3333,2,1.585
动物,7,3,0.5714,2,1.6645
化身,7,7,0.1667,2,2.585
半岛,7,7,1.0,2,1.5488
原来,7,3,0.5714,2,1.6645
古神,7,7,0.25,2,2.3219
可能,7,2,0.8333,2,0.65
合理,7,1,0.8571,2,0.5917
后我,7,7,0.1429,2,2.8074
吓哭,7,5,0.2857,2,2.5216
听劝,7,2,1.0,2,0.65
国家,7,3,0.5,2,1.9219
在北,7,1,0.7143,2,1.1488
在木叶,7,1,1.0,3,0.0
在现实,7,1,0.8333,3,1.1488
在西游,7,2,0.7143,3,1.1488
地下城,7,7,0.2,3,2.3219
大师兄,7,7,0.5,3,1.5
大魔王,7,5,0.5,3,1.0
天下无,7,1,0.5714,3,1.3788
天使,7,5,1.0,2,1.0
天尊,7,7,0.5,2,1.585
太监,7,7,0.5,2,1.5
套路,7,1,0.4286,2,1.4488
女明星,7,5,0.4,3,1.9219
好的,7,1,0.8571,2,0.5917
好莱坞,7,7,0.3333,3,1.585
妖孽,7,4,0.6,2,1.371
姐姐,7,5,0.3333,2,2.0
娱乐圈的,7,7,0.5,4,1.585
宗门,7,7,0.2,2,2.5216
宝可梦,7,5,0.3333,3,2.2516
实在太,7,7,0.1429,3,2.8074
家子,7,3,0.5714,2,1.6645
山河,7,7,0.2,2,2.3219
巅峰,7,7,0.2,2,2.3219
工程,7,2,1.0,2,0.0
巨头,7,5,1.0,2,2.75
幻想,7,7,0.2,2,2.3219
康熙,7,2,1.0,2,0.0
开始做,7,5,0.2857,3,2.5216
开始崛起,7,7,0.1429,4,2.8074
开始成为,7,7,0.1429,4,2.8074
开始的文,7,1,0.5714,4,1.3788
开始肝,7,1,0.4286,3,1.8424
开局获得,7,7,0.1429,4,2.8074
当大,7,4,0.4286,2,2.1281
悟性逆天,7,7,1.0,4,0.7219
成大,7,5,0.2857,2,2.5216
我从,7,7,1.0,2,1.0
我只是,7,3,1.0,3,0.8113
我在东京当,7,7,0.1429,5,2.8074
我在修,7,1,0.8571,3,0.5917
我在西,7,2,0.7143,3,1.1488
我开,7,5,0.3333,2,1.6645
我打造,7,3,0.5714,3,1.6645
我有一座,7,7,0.1429,4,2.8074
我来,7,5,0.3333,2,1.9219
我的女,7,1,0.8571,3,0.5917
我的老婆,7,1,0.8571,4,0.5917
我的超,7,2,0.7143,3,1.1488
我的身,7,2,0.4286,3,1.8424
我真不想,7,3,0.5714,4,1.6645
我真的只,7,1,0.5714,4,1.3788
我都,7,4,0.4286,2,2.1281
扮演,7,7,0.2,2,2.5216
抽奖,7,3,0.5714,2,1.0
挂机,7,5,0.4,2,1.9219
掌门,7,7,0.2,2,2.3219
摊牌,7,3,0.8,2,1.2516
教练,7,7,0.5,2,1.371
斩妖,7,5,0.6667,2,1.5
旅行,7,2,0.5,2,1.4591
无限进化,7,5,0.3333,4,2.2516
日常系,7,7,1.0,3,3.0
明第,7,1,0.8571,2,0.5917
是一,7,2,0.4286,2,1.8424
是正,7,4,0.2857,2,2.5216
是魔,7,2,0.4286,2,2.1281
曝光了,7,4,0.4286,3,2.1281
曹操,7,3,0.5,2,1.5219
有毒,7,7,0.1429,2,2.8074
朝当,7,1,0.8571,2,0.5917
来的路明非,7,1,0.8571,5,0.5917
极道,7,7,1.0,2,3.0
柯南之,7,4,0.4286,3,2.1281
梦境,7,5,0.4,2,1.9219
欢迎,7,2,0.6667,2,0.9183
正义,7,7,1.0,2,1.0
没人,7,1,1.0,2,0.9183
法则,7,5,1.0,2,2.75
洪荒之,7,7,1.0,3,3.0
流浪,7,5,0.4,2,1.9219
海贼王,7,3,0.5,3,1.9183
深海,7,7,0.5,2,1.0
火红,7,1,0.8571,2,0.5917
灭世,7,4,0.4,2,1.9219
爆红,7,1,0.7143,2,1.1488
牧师,7,7,0.3333,2,2.0
狠人,7,4,1.0,2,1.0
生命,7,5,0.5,2,1.585
生大,7,2,0.7143,2,1.1488
生模拟器,7,1,0.8571,4,0.5917
生活系,7,7,1.0,3,3.0
田园,7,7,0.3333,2,1.585
白月光,7,5,0.3333,3,2.3219
百万,7,4,0.5,2,1.7925
的学,7,1,0.4286,2,1.8424
的战,7,1,0.5714,2,1.3788
的文娱,7,3,0.5714,3,1.0
的时,7,2,0.5714,2,1.6645
的是,7,2,0.7143,2,1.1488
的火,7,1,0.8571,2,0.5917
的玩,7,1,0.8571,2,0.5917
的道,7,2,0.2857,2,2.2359
的那些,7,1,0.8571,3,0.5917
的黑科技,7,4,0.4286,4,2.1281
真实,7,5,0.5,2,1.0
离婚后,7,5,0.5,3,1.8424
穿越者,7,5,0.6667,3,1.4591
系统来,7,3,0.5714,3,1.6645
红尘,7,7,0.25,2,2.3219
纨绔,7,5,0.5,2,1.5
给我,7,7,0.1429,2,2.8074
综武,7,4,0.75,2,0.8113
网络,7,4,0.3333,2,2.2516
美女,7,4,0.6,2,1.371
能升级,7,3,0.5,3,1.0
能变,7,1,0.8571,2,0.5917
蜀山,7,5,0.5,2,1.0
规则,7,5,0.4,2,1.9219
记事,7,7,0.1429,2,2.8074
证道,7,5,0.4,2,1.9219
诸天万界,7,7,0.3333,4,2.0
读书,7,3,0.3333,2,1.9183
谍影,7,7,0.3333,2,1.585
财阀,7,3,0.5,2,1.585
走出的,7,4,0.4286,3,2.1281
这是,7,2,1.0,2,1.0
造了,7,3,0.5714,2,1.6645
道君,7,5,0.4,2,1.9219
道开始,7,7,0.5,3,1.0
道门,7,7,0.3333,2,1.585
都成,7,2,0.5,2,2.1281
重生后,7,7,0.5,3,1.1488
重生日,7,2,0.7143,3,1.0
金刚,7,1,0.4,2,2.2359
锦衣卫,7,3,0.3333,3,2.2359
镇守,7,5,0.2857,2,2.5216
霍格沃茨之,7,7,1.0,5,3.0
首辅,7,5,1.0,2,0.0
香江,7,7,0.3333,2,1.585
龙珠,7,5,0.5,2,1.585
万法,6,4,0.5,2,1.9219
三国从,6,4,1.0,3,2.5216
上我,6,3,1.0,2,2.1281
上限,6,1,0.8333,2,0.65
下的,6,4,0.3333,2,2.2516
专家,6,4,1.0,2,1.0
世界之,6,1,0.3333,3,1.9183
世纪,6,4,0.4,2,2.2516
个我,6,1,0.75,2,0.8113
么当,6,1,0.8333,2,0.65
之从,6,6,0.2,2,2.585
之名,6,6,0.1667,2,2.585
之神级,6,1,0.5,3,1.4591
之龙,6,6,0.5,2,1.0
了怎么办,6,6,0.1667,4,2.585
争霸,6,4,0.5,2,1.585
人在东京,6,6,1.0,4,0.65
人在木叶,6,6,0.0,4,-1.0
人生模拟器,6,2,0.6667,5,1.2516
从九,6,3,1.0,2,0.65
从战,6,2,1.0,2,0.8113
仙府,6,6,0.5,2,1.0
仙者,6,2,1.0,2,1.2516
众神,6,6,0.25,2,2.0
会穿越的,6,4,0.3333,4,2.2516
作死,6,4,0.5,2,1.0
你成,6,6,1.0,2,0.65
你说,6,3,0.5,2,1.7925
佣兵,6,6,0.3333,2,1.585
信息,6,4,0.4,2,1.585
修改,6,2,0.6667,2,1.2516
做人,6,2,0.6667,2,1.0
儿子,6,4,0.3333,2,2.2516
全世界,6,1,1.0,3,1.4591
八零,6,4,0.5,2,1.9219
公主,6,6,0.25,2,2.0
养生,6,3,0.4,2,1.9219
冒牌,6,4,0.5,2,1.585
出来,6,3,0.5,2,1.5
别人,6,6,0.3333,2,1.585
制卡师,6,6,0.1667,3,2.585
刺客,6,4,1.0,2,0.0
前妻,6,4,0.5,2,1.9219
剑宗,6,6,0.25,2,2.0
加点修,6,1,0.8333,3,0.65
加载,6,2,0.6667,2,1.2516
十八,6,3,0.6,2,1.371
卡牌,6,3,0.6,2,1.371
去当,6,2,0.6667,2,1.2516
反手,6,4,0.6667,2,1.4591
只会,6,2,1.0,2,0.7219
召唤师,6,4,0.3333,3,2.2516
君临,6,6,1.0,2,0.0
哈利,6,1,0.75,2,0.8113
唐三,6,4,0.4,2,1.9219
商人,6,6,1.0,2,2.8074
四合院之,6,6,1.0,4,2.8074
四合院里,6,1,1.0,4,0.65
回到过去,6,4,1.0,4,2.5216
围棋,6,3,1.0,2,0.0
国开,6,2,0.6667,2,1.2516
国王,6,6,0.5,2,1.0
在上,6,6,0.1667,2,2.585
在火影,6,1,0.6,3,0.971
在线,6,4,0.6667,2,1.5
在美漫,6,2,0.75,3,0.8113
地主,6,4,1.0,2,2.5216
坏了,6,6,0.5,2,1.5
基地,6,2,0.75,2,0.8113
塌房,6,4,0.3333,2,2.0
大周,6,4,1.0,2,2.5216
大哥,6,6,0.25,2,2.3219
大罗,6,6,0.25,2,2.0
天地,6,6,0.25,2,2.0
天魔,6,6,0.3333,2,1.585
太上,6,6,0.3333,2,1.585
太极,6,4,0.3333,2,2.2516
太阳,6,4,0.5,2,1.9219
头号,6,3,0.5,2,1.7925
她们都,6,2,0.3333,3,1.9183
妖尾,6,6,1.0,2,0.65
妹妹,6,4,0.4,2,1.9219
学的,6,1,0.5,2,1.7925
宠物,6,6,0.3333,2,1.585
家娘子,6,1,0.8333,3,0.65
小说,6,6,0.1667,2,2.585
少年,6,6,0.3333,2,1.585
就能变强,6,6,0.1667,4,2.585
岳父,6,6,0.5,2,1.0
左道,6,4,1.0,2,0.0
巨星从,6,6,1.0,3,2.8074
巫师世界,6,4,0.5,4,1.5
师开始,6,6,1.0,3,2.8074
帝之,6,1,0.5,2,1.4591
幸福,6,1,0.5,2,1.4591
幸运,6,4,0.3333,2,2.2516
幻世,6,2,0.8,2,0.7219
庆余年,6,2,1.0,3,0.0
庶子,6,4,0.5,2,1.5
开启,6,6,0.25,2,2.2516
归来的路明非,6,6,0.1667,6,2.585
很合理,6,2,0.8,3,0.7219
德鲁伊,6,4,0.3333,3,1.585
忽悠,6,4,0.4,2,1.9219
成帝,6,6,0.3333,2,1.585
我只想安,6,1,0.8333,4,0.65
我在仙,6,2,0.5,3,1.0
我在修仙,6,1,0.8333,4,0.65
我在异,6,1,0.8333,3,0.65
我大,6,2,1.0,2,1.0
我师,6,4,1.0,2,1.0
我才是,6,6,1.0,3,0.7219
我的女友,6,2,0.6667,4,1.2516
我的老婆是,6,6,1.0,5,1.0
我能看到,6,6,0.1667,4,2.585
我要做,6,6,0.1667,3,2.585
我选,6,2,0.6667,2,1.2516
我重,6,2,0.6667,2,1.2516
手记,6,4,0.3333,2,2.2516
拒绝,6,4,0.3333,2,2.2516
挂了,6,2,0.3333,2,1.9183
挑战,6,6,0.5,2,1.5
捡到一,6,2,1.0,3,1.0
捡属性,6,3,1.0,3,0.0
支配者,6,3,1.0,3,1.0
时代的,6,4,0.3333,3,2.2516
时明月,6,1,1.0,3,0.0
明之,6,3,0.5,2,1.7925
明朝当,6,2,0.5,3,1.7925
明第一,6,1,0.8333,3,0.65
是人,6,2,0.3333,2,1.9183
是什么体验,6,6,0.1667,5,2.585
是剑,6,2,0.3333,2,1.9183
最后一个,6,6,0.3333,4,2.0
有什么坏心,6,1,0.8333,5,0.65
末世之,6,6,0.1667,3,2.585
末年,6,2,0.5,2,1.0
机甲,6,6,0.25,2,2.0
校花,6,6,0.3333,2,2.0
梦回,6,6,0.2,2,2.585
梦幻,6,2,1.0,2,0.0
模拟人,6,1,0.8333,3,0.65
武功,6,3,0.6,2,1.371
死的,6,1,0.8333,2,0.65
水浒,6,6,0.5,2,1.0
永恒,6,6,0.5,2,1.0
法神,6,6,0.5,2,1.0
港片,6,4,1.0,2,0.0
游戏里,6,2,0.6667,3,1.2516
漫威世界的,6,6,0.1667,5,2.585
漫画,6,1,1.0,2,0.0
火红年代,6,4,1.0,4,0.8113
灵魂,6,6,0.5,2,1.0
炮灰,6,4,0.5,2,1.0
爱的,6,2,0.5,2,1.9183
爷爷,6,2,0.4,2,1.9183
牧场,6,6,0.3333,2,1.585
特种兵,6,6,0.5,3,1.0
状元,6,2,0.5,2,1.0
狂潮,6,6,0.1667,2,2.585
狩猎,6,6,0.2,2,2.3219
独行,6,6,0.3333,2,1.585
王牌,6,4,1.0,2,0.0
王的,6,6,0.25,2,2.2516
百世,6,4,0.3333,2,2.2516
的异,6,1,0.3333,2,1.9183
的我却,6,4,0.3333,3,2.2516
的我只想,6,4,0.3333,4,2.2516
的我只能,6,1,0.5,4,1.7925
的文艺,6,1,0.5,3,1.4591
的无限,6,2,0.3333,3,2.2516
的玩家,6,2,0.6667,3,1.2516
的男,6,1,0.8333,2,0.65
的系统,6,1,0.8333,3,0.65
的自我,6,1,0.8333,3,0.65
的诞生,6,6,0.1667,3,2.585
的超能力,6,1,0.8333,4,0.65
的那些年,6,6,0.1667,4,2.585
的重生,6,4,0.3333,3,2.2516
的霍格沃,6,1,0.8333,4,0.65
皇后,6,4,0.4,2,1.9219
直播鉴宝,6,6,0.0,4,-1.0
知否,6,6,0.5,2,1.0
砍翻,6,3,0.6667,2,1.4591
神功,6,6,0.1667,2,2.585
神医,6,6,0.3333,2,1.585
神座,6,6,0.2,2,2.3219
神诡世界,6,4,1.0,4,0.0
神豪从,6,6,0.1667,3,2.585
神魔,6,6,0.3333,2,1.585
离谱,6,4,0.5,2,1.585
科研,6,6,0.25,2,2.0
秘复苏,6,1,0.8333,3,0.65
穿越了,6,4,0.3333,3,2.2516
穿越到,6,6,0.3333,3,1.585
笑傲,6,4,0.4,2,1.9219
简单,6,2,0.3333,2,1.9183
精灵之,6,6,1.0,3,2.8074
级英雄,6,2,0.8,3,1.2516
练武,6,6,0.25,2,2.3219
终极,6,6,0.1667,2,2.585
绝世之,6,4,0.3333,3,2.2516
网红,6,6,0.3333,2,1.585
美国,6,2,0.8,2,0.7219
老朱,6,6,0.2,2,2.585
肉身成圣,6,3,1.0,4,1.7925
能是,6,1,0.8333,2,0.65
能有,6,1,0.8333,2,0.65
艾泽拉斯,6,6,0.5,4,1.0
血族,6,6,0.3333,2,1.585
被动,6,2,0.8,2,0.7219
西北,6,2,0.3333,2,1.9183
角色,6,4,0.4,2,1.9219
让你当,6,6,0.1667,3,2.585
诡异世界,6,6,0.5,4,1.0
说好的,6,6,1.0,3,2.8074
请留步,6,6,0.2,3,2.585
诸天世界,6,2,0.8,4,0.7219
赘婿,6,6,0.5,2,1.585
起源,6,6,0.3333,2,1.585
超时空,6,6,1.0,3,2.8074
退役,6,4,0.4,2,2.2516
速通,6,4,0.4,2,1.9219
造化,6,3,1.0,2,2.1281
道侣,6,6,0.5,2,1.585
道长生,6,2,1.0,3,1.0
重生了谁还,6,1,1.0,5,0.0
锦绣,6,6,0.3333,2,1.585
锦鲤,6,6,0.25,2,2.0
限制,6,1,0.6667,2,0.9183
风暴,6,6,0.1667,2,2.585
飞扬,6,2,0.8,2,0.7219
首席,6,3,0.75,2,0.8113
驱魔,6,3,0.6,2,1.371
高考,6,4,0.4,2,2.0
魔门,6,4,0.4,2,1.9219
黑夜,6,6,0.5,2,1.0
黑手,6,1,0.8333,2,0.65
龙之,6,6,0.1667,2,2.585
一万,5,5,0.5,2,1.585
一个大,5,3,0.4,3,1.9219
一本,5,1,0.8,2,0.7219
一枚,5,2,0.6,2,1.371
一起,5,5,0.2,2,2.3219
上将,5,2,0.75,2,0.8113
上班,5,3,1.0,2,0.9183
上的,5,5,0.2,2,2.3219
不死的我,5,2,1.0,4,0.9183
不科学,5,5,0.5,3,1.0
世唐,5,1,0.8,2,0.7219
世界当,5,5,0.2,3,2.3219
东方,5,3,0.5,2,1.5
丧尸,5,5,0.3333,2,1.585
个人,5,2,0.6,2,1.371
个修,5,1,0.6,2,1.371
个神,5,3,0.4,2,1.585
中华,5,5,0.3333,2,1.585
主的,5,5,0.25,2,2.0
之一,5,2,0.6,2,1.371
之国,5,5,0.25,2,2.0
之资,5,1,0.5,2,1.5219
之超级,5,3,0.4,3,1.9219
之金,5,1,0.4,2,1.5219
九天,5,5,0.25,2,2.0
九星,5,5,1.0,2,0.0
了仙,5,1,0.8,2,0.7219
了吧,5,1,0.8,2,0.7219
了女,5,1,0.8,2,0.7219
五百年,5,5,0.2,3,2.3219
人不,5,3,0.4,2,1.9219
人仙,5,5,0.5,2,1.0
人到,5,3,0.4,2,1.585
人太,5,2,0.6,2,1.371
人是,5,5,0.2,2,2.3219
人设崩,5,1,0.8,3,0.7219
从一人,5,1,0.4,3,1.5219
从三,5,3,0.4,2,1.9219
从今,5,1,0.8,2,0.7219
从全,5,3,1.0,2,1.0
从士兵突击开始,5,2,1.0,7,0.8113
从娶,5,1,0.6667,2,1.371
从拜,5,1,0.8,2,0.7219
从木,5,1,1.0,2,0.7219
从每,5,1,0.8,2,0.7219
从洪,5,3,0.5,2,1.585
从港综,5,2,1.0,3,0.9183
从猎,5,1,1.0,2,1.0
从获得,5,5,1.0,3,0.7219
从金,5,3,0.4,2,1.9219
从黑,5,1,1.0,2,1.9183
从龙族,5,1,0.8,3,0.7219
仙侠,5,1,0.8,2,0.7219
仙医,5,5,1.0,2,0.0
仙朝,5,5,1.0,2,0.0
仙缘,5,3,0.4,2,1.9219
仙途,5,5,0.2,2,2.3219
传承,5,5,0.5,2,1.0
但是,5,5,1.0,2,0.7219
你了,5,1,0.8,2,0.7219
你就,5,3,0.4,2,1.9219
你把,5,5,0.5,2,1.5
俗人,5,5,0.3333,2,1.585
修仙世界,5,2,0.6,4,1.0
光明,5,5,1.0,2,2.585
全家,5,2,0.75,2,0.8113
全知,5,2,0.6,2,1.371
八十年,5,2,1.0,3,0.8113
具现,5,1,0.4,2,1.5219
农庄,5,3,0.4,2,1.9219
出道,5,3,0.4,2,1.9219
刀开始,5,3,0.4,3,1.9219
列车,5,5,0.5,2,1.0
初唐,5,5,0.5,2,1.585
到中,5,3,0.4,2,1.9219
到神,5,5,0.2,2,2.3219
剑出,5,5,0.2,2,2.3219
剑开始,5,2,0.6,3,1.371
剑豪,5,5,1.0,2,2.585
剧情,5,2,0.6667,2,0.9183
功法,5,5,0.3333,2,1.9219
加点修行,5,3,0.4,4,1.9219
加钱,5,2,0.6,2,1.371
医圣,5,5,1.0,2,2.585
千万,5,3,0.6667,2,1.5
危机,5,5,0.5,2,1.0
却成了,5,3,0.6667,3,1.5219
原始,5,2,0.5,2,1.5
厨神,5,5,0.3333,2,1.585
去了,5,1,1.0,2,0.9183
只想当,5,1,1.0,3,0.0
只有我知道,5,3,0.4,5,1.9219
可不,5,1,0.8,2,0.7219
可以无限,5,3,0.4,4,1.9219
可能是,5,1,0.8,3,0.7219
史上最强,5,5,0.2,4,2.3219
吃瓜,5,3,0.5,2,1.5
吕布,5,5,0.25,2,2.0
呼吸,5,1,0.8,2,0.7219
命之,5,2,0.6,2,1.371
命格,5,1,0.8,2,0.7219
唐门,5,1,1.0,2,0.0
唯我独,5,1,0.8,3,0.7219
嘉靖,5,5,0.5,2,1.5
噩梦,5,5,0.3333,2,1.585
四合院里的,5,5,0.2,5,2.3219
国师,5,3,1.0,2,0.0
图书馆,5,3,1.0,3,2.2516
土豪,5,5,1.0,2,2.585
圣光,5,5,0.3333,2,2.0
在古代,5,1,0.8,3,0.7219
在末世,5,5,0.25,3,2.0
在现实世界,5,1,1.0,5,0.7219
在都市,5,5,0.2,3,2.3219
地府,5,5,0.5,2,1.0
复制,5,5,0.25,2,2.0
大反派,5,5,1.0,3,2.585
大将,5,5,0.2,2,2.3219
大抽,5,1,0.8,2,0.7219
大明第一,5,5,0.2,4,2.3219
大王,5,3,0.6667,2,0.9183
大荒,5,5,0.3333,2,1.585
大魏,5,5,0.5,2,1.0
天罡,5,2,0.75,2,0.8113
天道酬勤,5,5,0.5,4,1.0
天骄,5,5,0.5,2,1.0
太听劝了,5,5,0.2,4,2.3219
太稳,5,2,0.6,2,1.371
夺嫡,5,2,0.75,2,0.8113
奇幻,5,5,0.3333,2,2.0
奇迹,5,5,1.0,2,0.8113
女儿身,5,1,0.8,3,0.7219
女开始,5,2,0.6,3,1.0
女的,5,2,0.6,2,1.371
好人,5,2,1.0,2,1.7925
妙手,5,5,1.0,2,0.0
娱乐之,5,5,1.0,3,2.585
子不,5,3,0.4,2,1.9219
守则,5,5,0.2,2,2.3219
完美世界,5,3,1.0,4,0.0
富贵,5,5,0.3333,2,1.585
对象,5,2,0.6,2,1.371
将军,5,2,0.6,2,1.371
就变强,5,5,0.2,3,2.3219
尸人,5,5,1.0,2,2.585
尽头,5,5,0.2,2,2.3219
工厂,5,5,0.2,2,2.3219
师不,5,2,0.6,2,1.371
师妹,5,5,0.5,2,1.585
师父,5,3,0.5,2,1.5
帝皇,5,3,0.6667,2,1.5
幕后黑手,5,2,0.6,4,1.371
开始成就,5,5,0.2,4,2.3219
开始的诸天,5,3,0.5,5,1.5
开始长生,5,5,1.0,4,2.585
开局一个,5,3,1.0,4,0.9183
开局加,5,1,1.0,3,0.7219
异世之,5,5,0.2,3,2.3219
