word,count,independent,bind,len,compound_entropy,cohesion
次元,18,4,0.6667,2,1.6923,8.7294
正常,18,3,0.2857,2,2.7534,8.0167
百年,18,8,0.2941,2,2.5219,6.4982
万物,17,15,0.2857,2,2.75,6.1421
不对劲,17,13,0.6667,3,1.4591,7.0005
之最,17,1,0.8824,2,0.6402,3.449
你们,17,9,0.25,2,2.4817,5.7689
你管这叫,17,15,0.1176,4,3.9698,7.8514
入侵,17,8,0.2222,2,2.7774,9.464
全民,17,9,1.0,2,3.6819,6.7614
大宋,17,11,0.6667,2,3.9321,4.5751
大道,17,12,0.25,2,2.9477,2.0924
天才,17,15,0.2222,2,3.1219,4.1117
工业,17,6,0.1818,2,3.0958,7.2203
带着,17,11,0.5,2,1.9219,9.5465
日记,17,7,0.25,2,1.88,6.285
正经,17,6,0.4118,2,2.6962,7.9099
生不,17,4,0.7059,2,1.5569,1.7022
的我只,17,1,0.3529,3,1.9831,4.1006
纪元,17,12,1.0,2,0.7219,8.5689
美食,17,15,0.1333,2,3.0,7.3348
能力,17,7,0.5294,2,2.4093,6.2079
荒野,17,6,0.375,2,2.6416,8.193
诡秘,17,17,1.0,2,2.3244,8.1239
重回,17,15,0.5,2,3.1084,4.4022
之旅,16,7,0.1875,2,3.3278,5.0561
今天,16,6,0.3636,2,2.7322,6.0077
修炼,16,12,0.2143,2,3.4677,6.404
全是,16,8,0.2308,2,3.2806,3.4305
同时穿越,16,10,1.0,4,1.5694,8.9615
天庭,16,14,0.1667,2,3.4183,5.6598
娘子,16,10,0.5,2,2.2925,6.5807
影视世界,16,10,0.6667,4,3.7345,6.993
悟性,16,5,0.7,2,1.823,9.8355
情报,16,3,0.3333,2,2.7069,9.4172
我真是,16,12,0.1333,3,3.75,4.4082
战争,16,6,0.2222,2,2.7322,7.6627
是天,16,5,0.1875,2,3.3278,1.5513
最后,16,2,0.5625,2,1.4913,5.6654
来了,16,10,0.5,2,1.5,3.4417
来自,16,12,0.2,2,3.2516,6.1383
气运,16,11,0.2143,2,3.4183,8.7367
界之,16,2,0.375,2,2.0079,1.5259
神明,16,12,0.1429,2,3.0,2.2133
空之,16,1,0.75,2,1.0141,3.7962
竟是,16,5,0.625,2,1.9238,6.1161
获得,16,1,0.4667,2,1.6895,10.0871
