min_ent,mr,coh,indep,spe,rsr,bind,rsr_mode,msc,no_punct,no_merge,len,n_kept,keep,filt,r000,frag,coll,A,B,C
1.05,0.6,2.5,0.7,0.4,45.0,0.85,mean,8,False,False,12,2047,11,1,0,0,1217,0.368,0.2422,0.1165
0.4,0.7,2.5,0.05,0.8,30.0,0.5,mean,8,True,True,12,3298,22,1,0,2,763,0.4878,0.3268,0.1713
0.85,0.65,4.0,0.1,1.5,0.0,0.85,mean,4,False,False,4,2742,22,1,0,3,750,0.483,0.3192,0.1638
0.05,0.35,3.0,0.0,1.95,10.0,0.35,mean,8,False,False,12,871,16,1,0,2,1154,0.4079,0.2631,0.1238
0.8,0.55,2.5,0.95,1.9,5.0,0.25,max,1,False,True,12,305,4,1,0,0,1476,0.2864,0.1796,0.0728
1.25,0.3,1.0,0.9,2.0,15.0,0.15,max,1,False,True,12,127,3,1,0,0,1579,0.2708,0.1667,0.0626
1.15,0.1,8.0,1.0,1.05,0.0,0.65,max,1,True,True,12,352,2,0,0,0,1557,0.2767,0.1713,0.0659
0.45,0.65,2.5,0.8,0.85,45.0,0.85,max,8,True,True,8,2652,8,1,0,0,1317,0.3337,0.216,0.0984
0.75,0.1,4.0,0.7,0.75,35.0,0.9,max,4,False,True,8,2208,10,1,0,2,1260,0.3448,0.2163,0.0932
0.55,0.75,3.0,0.55,0.8,25.0,0.4,max,1,False,False,6,910,15,1,0,3,1101,0.396,0.2511,0.1146
1.3,0.75,8.5,0.35,1.5,50.0,0.75,max,1,False,True,6,470,6,0,0,0,1399,0.3239,0.2077,0.0914
1.25,0.35,4.5,0.9,1.15,35.0,0.85,max,8,True,True,12,1312,3,1,0,0,1462,0.2778,0.1737,0.0696
0.85,0.45,4.0,0.35,0.35,15.0,0.5,mean,2,False,False,12,2654,20,1,0,4,883,0.4507,0.2895,0.1394
0.85,0.9,8.0,0.95,0.9,5.0,0.3,max,2,True,False,8,166,6,0,0,2,1492,0.3073,0.1855,0.0693
0.0,0.85,2.0,0.4,0.1,0.0,0.85,max,2,True,False,4,3526,25,2,0,10,496,0.4735,0.2862,0.1266
1.8,0.45,7.5,0.75,1.4,25.0,0.25,mean,4,True,False,4,99,3,0,0,0,1562,0.2858,0.1777,0.0696
1.25,0.75,1.0,0.9,2.0,50.0,0.05,mean,2,True,False,6,84,3,0,0,0,1609,0.2831,0.175,0.0668
0.35,0.85,6.5,0.95,1.9,45.0,0.35,max,8,True,True,12,239,2,0,0,0,1530,0.2783,0.1729,0.0675
0.95,0.9,9.5,0.05,1.95,5.0,0.3,mean,4,False,False,6,53,1,0,0,0,1573,0.2663,0.1636,0.0609
0.55,0.85,1.0,0.25,0.8,30.0,0.7,max,4,False,False,8,4309,24,3,0,4,555,0.4799,0.3159,0.1631
0.9,0.7,1.0,0.35,0.8,50.0,0.9,mean,8,False,False,6,3836,24,3,0,2,652,0.4853,0.3269,0.174
0.85,0.2,1.0,0.05,0.5,20.0,0.95,max,8,False,True,8,4467,26,3,0,5,400,0.5025,0.3303,0.172
1.25,0.4,8.0,0.85,1.55,35.0,0.1,mean,8,True,True,4,24,0,0,0,0,1609,0.2547,0.1547,0.0547
0.25,0.35,9.0,0.9,0.05,50.0,0.4,mean,2,True,True,8,186,7,0,0,1,1476,0.3232,0.2015,0.0826
0.55,0.9,6.5,1.0,1.55,5.0,0.75,max,8,True,True,4,855,2,0,0,0,1505,0.2798,0.1744,0.0689
0.5,0.5,6.5,0.75,0.9,50.0,0.6,mean,8,False,True,8,997,2,0,0,0,1459,0.2825,0.1771,0.0717
1.0,0.15,6.0,0.8,0.8,50.0,0.85,max,8,False,False,8,1187,2,0,0,0,1456,0.2827,0.1773,0.0719
1.95,0.75,10.0,0.7,0.15,15.0,0.4,mean,4,True,True,4,52,7,0,0,3,1576,0.3062,0.1789,0.06
0.05,0.35,2.5,0.45,1.75,0.0,0.85,max,1,False,False,12,3196,17,1,0,0,890,0.4441,0.3021,0.1602
0.35,0.2,7.5,0.45,1.6,20.0,0.65,max,8,False,True,6,824,9,0,0,0,1374,0.3537,0.2294,0.1051
1.2,0.3,9.5,0.8,0.4,5.0,0.4,max,4,True,False,8,101,8,0,0,4,1557,0.3112,0.1785,0.0569
0.95,0.9,9.0,0.75,0.45,35.0,0.85,max,4,True,True,12,351,2,0,0,1,1523,0.2731,0.165,0.0595
1.0,0.3,3.5,0.9,1.2,15.0,0.65,mean,4,True,True,12,2266,7,1,0,1,1376,0.3151,0.1974,0.0825
0.45,0.75,0.5,0.2,1.6,45.0,0.5,mean,8,False,True,4,3639,23,3,0,4,691,0.4624,0.3011,0.151
0.45,0.65,10.0,0.2,0.2,35.0,0.4,max,8,False,True,12,84,1,0,0,0,1553,0.2675,0.1648,0.0621
1.0,0.75,8.5,0.05,1.95,5.0,0.35,max,2,False,True,4,170,2,0,0,0,1495,0.2804,0.1749,0.0695
2.0,0.15,7.0,0.25,0.95,0.0,0.05,max,1,True,True,8,47,1,0,0,0,1609,0.2641,0.1614,0.0587
1.35,0.2,3.5,0.8,1.3,45.0,0.25,mean,2,False,True,6,284,8,1,0,0,1475,0.3243,0.2067,0.0891
1.55,0.9,2.0,0.35,1.45,50.0,0.4,max,4,False,True,8,1042,19,1,0,1,1033,0.449,0.2988,0.1515
1.7,0.25,1.0,0.7,1.1,45.0,0.45,max,4,True,True,6,436,7,1,0,0,1354,0.322,0.2071,0.0922
1.2,0.75,1.5,0.35,1.2,45.0,0.55,max,4,False,True,8,2585,24,1,0,1,861,0.5065,0.3428,0.182
0.0,0.9,0.5,0.95,1.55,20.0,0.35,max,2,False,True,6,716,8,1,0,0,1388,0.3294,0.2118,0.0942
2.0,0.15,10.0,1.0,0.1,20.0,0.7,mean,4,False,False,8,127,5,0,0,3,1564,0.288,0.1661,0.0526
1.0,0.65,2.5,0.3,0.4,40.0,0.55,max,2,True,True,8,3291,23,1,0,5,769,0.4802,0.3082,0.15
1.05,0.15,7.0,0.1,0.45,15.0,0.6,max,1,True,False,8,1052,16,1,0,5,1104,0.3942,0.241,0.1018
1.7,0.15,7.0,0.55,0.8,45.0,0.6,max,1,False,True,4,698,12,0,0,4,1296,0.3645,0.221,0.0885
1.95,0.85,5.0,0.95,0.7,50.0,0.1,max,4,True,False,6,76,2,0,0,0,1607,0.2737,0.1683,0.0629
0.1,0.05,4.5,0.75,0.35,5.0,0.35,mean,8,True,True,12,547,10,1,0,3,1388,0.3317,0.2003,0.0773
1.85,0.2,6.5,1.0,0.3,35.0,0.95,max,4,False,True,6,592,3,0,0,2,1524,0.277,0.1633,0.0552
1.4,0.7,3.5,0.55,0.3,50.0,0.55,max,1,True,True,6,1931,21,1,0,2,1057,0.4609,0.3026,0.1498
0.35,0.7,1.0,0.3,2.0,45.0,0.0,mean,4,False,False,6,84,3,0,0,0,1609,0.2831,0.175,0.0668
0.2,0.85,3.0,0.9,0.65,15.0,0.5,mean,1,True,False,6,2674,16,1,0,4,1129,0.3982,0.2479,0.1086
1.7,0.4,2.5,0.15,0.05,10.0,0.0,max,2,True,False,6,82,3,0,0,0,1609,0.2831,0.175,0.0668
